country_code,region_country_area,year,series,value,notes,source
76,Brazil,2010,"Asylum seekers, including pending cases (number)",872.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2010,Other of concern to UNHCR (number),8.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2010,Total population of concern to UNHCR (number),5237.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2015,International migrant stock: Both sexes (number),710304.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2015,International migrant stock: Both sexes (% total population),0.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2015,International migrant stock: Male (% total Population),0.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2015,International migrant stock: Female (% total Population),0.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2015,Total refugees and people in refugee-like situations (number),7762.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2015,"Asylum seekers, including pending cases (number)",17902.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2015,Other of concern to UNHCR (number),40338.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2015,Total population of concern to UNHCR (number),66002.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2020,International migrant stock: Both sexes (number),1079708.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2020,International migrant stock: Both sexes (% total population),0.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2020,International migrant stock: Male (% total Population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2020,International migrant stock: Female (% total Population),0.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
76,Brazil,2020,Total refugees and people in refugee-like situations (number),50485.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2020,"Asylum seekers, including pending cases (number)",209333.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2020,Other of concern to UNHCR (number),148024.0,Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2020,Total population of concern to UNHCR (number),407842.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2023,Total refugees and people in refugee-like situations (number),193976.0,"More than 90,000 people in a refugee-like situation were reported for the first time, primarily Haitian nationals, who have received humanitarian visas in the country.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2023,"Asylum seekers, including pending cases (number)",89519.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2023,Other of concern to UNHCR (number),310153.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
76,Brazil,2023,Total population of concern to UNHCR (number),593648.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2005,International migrant stock: Both sexes (number),15016.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2005,International migrant stock: Both sexes (% total population),65.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2010,International migrant stock: Both sexes (number),17076.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2010,International migrant stock: Both sexes (% total population),61.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2010,Total refugees and people in refugee-like situations (number),2.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2010,Total population of concern to UNHCR (number),2.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2015,International migrant stock: Both sexes (number),19535.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2015,International migrant stock: Both sexes (% total population),67.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2017,"Asylum seekers, including pending cases (number)",1.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2017,Total population of concern to UNHCR (number),1.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2019,Total refugees and people in refugee-like situations (number),1.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2019,Total population of concern to UNHCR (number),1.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2020,International migrant stock: Both sexes (number),22164.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2020,International migrant stock: Both sexes (% total population),73.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
92,British Virgin Islands,2020,Other of concern to UNHCR (number),38.0,Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2020,Total population of concern to UNHCR (number),38.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2021,Other of concern to UNHCR (number),20.0,Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
92,British Virgin Islands,2021,Total population of concern to UNHCR (number),20.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2005,International migrant stock: Both sexes (number),98441.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2005,International migrant stock: Both sexes (% total population),27.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2005,International migrant stock: Male (% total Population),29.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2005,International migrant stock: Female (% total Population),24.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2010,International migrant stock: Both sexes (number),100587.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2010,International migrant stock: Both sexes (% total population),25.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2010,International migrant stock: Male (% total Population),28.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2010,International migrant stock: Female (% total Population),23.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2010,Other of concern to UNHCR (number),20992.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2010,Total population of concern to UNHCR (number),20992.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2015,International migrant stock: Both sexes (number),102733.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2015,International migrant stock: Both sexes (% total population),24.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2015,International migrant stock: Male (% total Population),27.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2015,International migrant stock: Female (% total Population),22.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2015,Other of concern to UNHCR (number),20524.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2015,Total population of concern to UNHCR (number),20524.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2020,International migrant stock: Both sexes (number),111959.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2020,International migrant stock: Both sexes (% total population),25.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2020,International migrant stock: Male (% total Population),27.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2020,International migrant stock: Female (% total Population),23.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
96,Brunei Darussalam,2020,Other of concern to UNHCR (number),20863.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2020,Total population of concern to UNHCR (number),20863.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2023,Total refugees and people in refugee-like situations (number),0.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2023,"Asylum seekers, including pending cases (number)",0.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2023,Other of concern to UNHCR (number),20863.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
96,Brunei Darussalam,2023,Total population of concern to UNHCR (number),20863.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2005,International migrant stock: Both sexes (number),61074.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2005,International migrant stock: Both sexes (% total population),0.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2005,International migrant stock: Male (% total Population),0.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2005,International migrant stock: Female (% total Population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2005,Total refugees and people in refugee-like situations (number),4413.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2005,"Asylum seekers, including pending cases (number)",805.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2005,Total population of concern to UNHCR (number),5218.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2010,International migrant stock: Both sexes (number),76287.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2010,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2010,International migrant stock: Male (% total Population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2010,International migrant stock: Female (% total Population),1.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2010,Total refugees and people in refugee-like situations (number),5530.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2010,"Asylum seekers, including pending cases (number)",1412.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2010,Total population of concern to UNHCR (number),6942.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2015,International migrant stock: Both sexes (number),123803.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2015,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2015,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2015,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2015,Total refugees and people in refugee-like situations (number),11046.0,Data relates to the end of 2014.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2015,"Asylum seekers, including pending cases (number)",7840.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2015,Other of concern to UNHCR (number),67.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2015,Total population of concern to UNHCR (number),18953.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2020,International migrant stock: Both sexes (number),184363.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2020,International migrant stock: Both sexes (% total population),2.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2020,International migrant stock: Male (% total Population),2.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2020,International migrant stock: Female (% total Population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
100,Bulgaria,2020,Total refugees and people in refugee-like situations (number),20688.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2020,"Asylum seekers, including pending cases (number)",760.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2020,Other of concern to UNHCR (number),12.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2020,Total population of concern to UNHCR (number),21460.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2023,Total refugees and people in refugee-like situations (number),189577.0,"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 160,500 Ukrainians who received temporary protection, and 29,100 other refugees.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2023,"Asylum seekers, including pending cases (number)",9595.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2023,Other of concern to UNHCR (number),998.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
100,Bulgaria,2023,Total population of concern to UNHCR (number),199238.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2005,International migrant stock: Both sexes (number),597658.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2005,International migrant stock: Both sexes (% total population),4.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2005,International migrant stock: Male (% total Population),4.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2005,International migrant stock: Female (% total Population),4.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2005,Total refugees and people in refugee-like situations (number),511.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2005,"Asylum seekers, including pending cases (number)",784.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2005,Other of concern to UNHCR (number),7.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2005,Total population of concern to UNHCR (number),1302.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2010,International migrant stock: Both sexes (number),674438.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2010,International migrant stock: Both sexes (% total population),4.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2010,International migrant stock: Male (% total Population),4.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2010,International migrant stock: Female (% total Population),4.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2010,Total refugees and people in refugee-like situations (number),531.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2010,"Asylum seekers, including pending cases (number)",534.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2010,Other of concern to UNHCR (number),9.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2010,Total population of concern to UNHCR (number),1074.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2015,International migrant stock: Both sexes (number),704676.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2015,International migrant stock: Both sexes (% total population),3.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2015,International migrant stock: Male (% total Population),3.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2015,International migrant stock: Female (% total Population),4.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2015,Total refugees and people in refugee-like situations (number),34027.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2015,"Asylum seekers, including pending cases (number)",180.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2015,Total population of concern to UNHCR (number),34207.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2020,International migrant stock: Both sexes (number),723989.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2020,International migrant stock: Both sexes (% total population),3.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2020,International migrant stock: Male (% total Population),3.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2020,International migrant stock: Female (% total Population),3.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
854,Burkina Faso,2020,Total refugees and people in refugee-like situations (number),19837.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2020,"Asylum seekers, including pending cases (number)",33.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2020,Other of concern to UNHCR (number),921471.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2020,Total population of concern to UNHCR (number),941341.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2023,Total refugees and people in refugee-like situations (number),36226.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2023,"Asylum seekers, including pending cases (number)",558.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2023,Other of concern to UNHCR (number),2062534.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
854,Burkina Faso,2023,Total population of concern to UNHCR (number),2099318.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2005,International migrant stock: Both sexes (number),192774.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2005,International migrant stock: Both sexes (% total population),2.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2005,International migrant stock: Male (% total Population),2.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2005,International migrant stock: Female (% total Population),2.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2005,Total refugees and people in refugee-like situations (number),20681.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2005,"Asylum seekers, including pending cases (number)",19900.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2005,Other of concern to UNHCR (number),12988.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2005,Total population of concern to UNHCR (number),53569.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2010,International migrant stock: Both sexes (number),247321.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2010,International migrant stock: Both sexes (% total population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2010,International migrant stock: Male (% total Population),2.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2010,International migrant stock: Female (% total Population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2010,Total refugees and people in refugee-like situations (number),29365.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2010,"Asylum seekers, including pending cases (number)",12062.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2010,Other of concern to UNHCR (number),159338.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2010,Total population of concern to UNHCR (number),200765.0,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2015,International migrant stock: Both sexes (number),298299.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2015,International migrant stock: Both sexes (% total population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2015,International migrant stock: Male (% total Population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2015,International migrant stock: Female (% total Population),3.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2015,Total refugees and people in refugee-like situations (number),54126.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2015,"Asylum seekers, including pending cases (number)",2733.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2015,Other of concern to UNHCR (number),80851.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2015,Total population of concern to UNHCR (number),137710.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2020,International migrant stock: Both sexes (number),344767.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2020,International migrant stock: Both sexes (% total population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2020,International migrant stock: Male (% total Population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2020,International migrant stock: Female (% total Population),2.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2022."
108,Burundi,2020,Total refugees and people in refugee-like situations (number),76887.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2020,"Asylum seekers, including pending cases (number)",9080.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
108,Burundi,2020,Other of concern to UNHCR (number),31172.0,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2024."
